name	acronym	parent_org	notes
AllerGen			
Bertrand Russell Research Centre		Faculty of Humanities	
Biointerfaces Institute		Faculty of Science	
Brain-Body Institute		Faculty of Health Sciences	
Brockhouse Institute for Materials Research		VPR	
Canadian Centre for Electron Microscopy			
CanChild Centre for Childhood Disability Research		Faculty of Health Sciences	
Centre for Advanced Polymer Processing & Design		Faculty of Engineering	
Centre for Advanced Research in Experimental and Applied Linguistics	ARiEAL		
Centre for Effective Design of Structures			
Centre for Evaluation of Medicines		Faculty of Health Sciences	
Centre for Emerging Device Technologies		Faculty of Engineering	
Centre for Functional Genomics			
Centre for Health Economics and Policy Analysis	CHEPA	Faculty of Health Sciences	
Centre for Mechatronics and Hybrid Technologies		Faculty of Engineering	
Centre for Microbial Chemical Biology			
Centre for Minimal Access Surgery		Faculty of Health Sciences	
Centre for Peace Studies		Faculty of Humanities	
Centre for Probe Development and Commercialization			
Centre for Spatial Analysis			
Centre for Surgical Invention and Innovation			
Chanchlani Research Centre		Faculty of Health Sciences	
Escarpment Cancer Research Institute		Faculty of Health Sciences	
Farncombe Family Digestive Health Research Institute		Faculty of Health Sciences	
Firestone Institute for Respiratory Health		Faculty of Health Sciences	
General Motors Centre for Automotive Materials and Corrosion		Faculty of Engineering	
Gilbrea Centre for Studies in Aging		Institute for Manufacturing Policy Analysis and Knowledge Transfer (IMPAKT)	
Institute on Globalization and the Human Condition		Faculty of Social Sciences	
MacDATA Institute		VPR	
McMaster Advanced Control Consortium		Faculty of Engineering	
McMaster Ancient DNA Centre			
McMaster Centre for Climate Change		Faculty of Science	
McMaster Centre for Nutrition, Exercise and Health Research	McNEHR	Faculty of Science	
McMaster Centre for Scholarship in the Public Interest	MCSPI	VPR	
McMaster Centre for Software Certification	McSCert	Faculty of Engineering	
McMaster Child Health Research Institute			
McMaster eBusiness Research Centre	MeRC	Degroote School of Business	
McMaster Health Forum			
McMaster Immunology Research Centre		Faculty of Health Sciences	
McMaster Institute of Geroscience			
McMaster Institute for Applied Radiation Sciences	McIARS	VPR	
McMaster Institute for Automotive Research and Technology	MacAUTO	Faculty of Engineering	
McMaster Institute for Energy Studies		Faculty of Engineering	
McMaster Institute for Healthier Environments		VPR	formerly McMaster Institute for Environment & Health
McMaster Institute for Molecular Biology & Biotechnology	MOBIX		
McMaster Institute for Multi-Hazard Systemic Risk Studies			
McMaster Institute for Music and the Mind		Faculty of Science	
McMaster Institute for Polymer Production Technology			
McMaster Institute for Transportation and Logistics		VPR	
McMaster Manufacturing Research Institute		Faculty of Engineering	
McMaster Physical Activity Centre of Excellence	PACE	Faculty of Science	
McMaster Steel Research Centre		Faculty of Engineering	
McMaster Stem Cell and Cancer Research Institute		Faculty of Health Sciences	
Medical Imagining Informatics Research Centre at McMaster	MIIRC@M		
Michael G. DeGroote Institute for Infectious Disease Research		Faculty of Health Sciences	
Michael G. DeGroote Institute for Pain Research and Care		Faculty of Health Sciences	
Michael G. DeGroote National Pain Centre		Faculty of Health Sciences	
Offord Centre for Child Studies		Faculty of Health Sciences	
Origins Institute		Faculty of Science	
Population Health Research Institute		Faculty of Health Sciences	
Research Data Centre		VPR	
Research Institute for Quantitative Studies in Economics & Population		Faculty of Social Sciences	
SENTINEL Bioactive Paper Network			
Statistics Canada Research Data Centre		Faculty of Social Sciences	
Surgical Outcomes Research Centre			
Thrombosis & Atherosclerosis Research Institute	TaARI	Faculty of Health Sciences	
Wilson Institute for Canadian History		Faculty of Humanities	
McMaster University Centre for Effective Design of Structures		Faculty of Engineering	
Lewis and Ruth Sherman Centre for Digital Scholarship		Faculty of Humanities	
Institute for Manufacturing Policy Analysis and Knowledge Transfer	IMPAKT	Faculty of Social Sciences	
McMaster Institute for Surgical Invention, Innovation and Education		Faculty of Health Sciences	
McMaster Institute of Urology		Faculty of Health Sciences	
