name_listed	name_vivo	primary_group	type_uri	class_uri	is_dept	notes
Accounting and Financial Manag	Accounting & Financial Management Services	DeGroote School of Business	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Anaesthesia	Anesthesia	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Anthropology	Anthropology	Faculty of Social Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Arts & Science	Arts & Science		Program	http://vivoweb.org/ontology/core#Program	1	
Biochemistry	Biochemistry & Biomedical Sciences	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Biointerfaces Institute	Biointerfaces Institute	Faculty of Science	Institute		0	
Biology	Biology	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
School of BioMedical Engineeri	Biomedical Engineering	Faculty of Engineering	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
BIMR	Brockhouse Institute for Materials Research	RESEARCH	Institute		0	
Centre for Emerging Device Tec	Centre for Emerging Device Technologies	Faculty of Engineering	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Chemical Engineering	Chemical Engineering	Faculty of Engineering	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Chemical Biology	Chemistry & Chemical Biology	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Chemistry	Chemistry & Chemical Biology	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Civil Engineering	Civil Engineering	Faculty of Engineering	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Classics	Classics	Faculty of Humanities	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
CSMM	Communication Studies & Multimedia	Faculty of Humanities	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Computing and Software	Computing and Software	Faculty of Engineering	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
DSB Central Administration	Degroote School of Business	DeGroote School of Business	Faculty		0	
Economics	Economics	Faculty of Social Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Electrical and Computer Engine	Electrical and Computer Engineering	Faculty of Engineering	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
ENG 5 Year	Engineering and Society Program	Faculty of Engineering	Program		0	
Engineering Level one	Engineering Level one	Faculty of Engineering	Program		0	
Engineering Physics	Engineering Physics	Faculty of Engineering	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
English	English & Cultural Studies	Faculty of Humanities	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Associate Dean Academic	Faculty of Engineering	Faculty of Engineering	Faculty		0	
Associate Dean Research	Faculty of Engineering	Faculty of Engineering	Faculty		0	
Engineering Central Administra	Faculty of Engineering	Faculty of Engineering	Faculty		0	
FHS Academic Administration	Faculty of Health Sciences	Faculty of Health Sciences	Faculty		0	
Health Research Services	Faculty of Health Sciences	Faculty of Health Sciences	Faculty		0	
International	Faculty of Health Sciences	Faculty of Health Sciences	Faculty		0	
Associate Dean - Academic	Faculty of Humanities	Faculty of Humanities	Faculty		0	
Associate Dean - Research / GS	Faculty of Humanities	Faculty of Humanities	Faculty		0	
Humanities - Offic of the Dean	Faculty of Humanities	Faculty of Humanities	Faculty		0	
Science Assoc Dean Academic	Faculty of Science	Faculty of Science	Faculty		0	
Science Central Admin	Faculty of Science	Faculty of Science	Faculty		0	
Social Science Central Adminis	Faculty of Social Sciences	Faculty of Social Sciences	Faculty		0	
Family Med	Family Medicine	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Finance and Business Economics	Finance & Business Economics	DeGroote School of Business	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
French	French	Faculty of Humanities	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Women's Studies	Gender Studies and Feminist Research	Faculty of Humanities	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Geography and Earth Sciences	Geography & Earth Sciences	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Gilbrea Centre for Studies in	Gilbrea Centre For Studies In Aging	Faculty of Social Sciences	Centre		0	
The Gilbrea Chair in Aging and	Gilbrea Centre for Studies in Aging	Faculty of Social Sciences	Centre		0	
Canwest Global Chair	Global Television Chair in Communications	Faculty of Humanities	Chair		0	
Health Policy and Management	Health Policy and Management	DeGroote School of Business	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Clinical Epidemiology	Health Research Methods, Evidence, and Impact	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Health Evidence and Impact	Health Research Methods, Evidence, and Impact	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Health, Aging and Society	Health, Aging & Society	Faculty of Social Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
History	History	Faculty of Humanities	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Hope Chair	HOPE Chair in Peace and Health	Faculty of Humanities	Chair		0	
Human Resources and Management	Human Resources & Management	DeGroote School of Business	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Indigenous Studies	Indigenous Studies	Faculty of Social Sciences	Academic Department		0	
Information Systems	Information Systems	DeGroote School of Business	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Institute on Globalization and	Institute On Globalization and the Human Condition	Faculty of Social Sciences	Institute		0	
Kinesiology	Kinesiology	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Labour Studies	Labour Studies	Faculty of Social Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Linguistics and Languages	Linguistics and Languages	Faculty of Humanities	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
RES-MAC Data Institute	MacDATA Institute	RESEARCH	Institute		0	
Marketing	Marketing	DeGroote School of Business	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Materials Science and Engineer	Materials Science and Engineering	Faculty of Engineering	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Mathematics and Statistics	Mathematics and Statistics	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Institute for Environment and	McMaster Institute for Healthier Environments	RESEARCH	Institute		0	
Inst for Research on Aging	McMaster Institute for Research on Aging	RESEARCH	Institute		0	
Mechanical Engineering	Mechanical Engineering	Faculty of Engineering	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Medical Physics and Applied Ra	Medical Physics and Applied Radiation Sciences	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Medicine	Medicine	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Nursing	Nursing	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Obs & Gyn	Obstetrics & Gynecology	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
AVP Academic	Office of the Vice-President, Academic		Office		0	
International Affairs	Office of International Affairs	RESADMIN	Office		0	
Associate VP Research	Office of the Vice-President, Research	#N/A	Office		0	
Oncology	Oncology	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Chepa/Mohltc Chair In Health E	Ontario Ministry of Health and Long-Term Care Chair in Health Equity	Faculty of Health Sciences	Chair		0	
Operations Management	Operations Management	DeGroote School of Business	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Origins Institute	Origins Institute	Faculty of Science	Institute		0	
Pathology	Pathology & Molecular Medicine	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
MacPherson Institute	Paul R. MacPherson Institute for Leadership, Innovation and Excellence in Teaching	Paul R. MacPherson Institute for Leadership, Innovation and Excellence in Teaching	Institute		0	
Peace Studies	Peace Studies	Faculty of Humanities	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Pediatrics	Pediatrics	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Philosophy	Philosophy	Faculty of Humanities	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Physics and Astronomy	Physics & Astronomy	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Political Science	Political Science	Faculty of Social Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Psychiatry	Psychiatry & Behavioural Neurosciences	Faculty of Health Sciences	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Psychology	Psychology, Neuroscience & Behaviour	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
Psychology, Neuroscience and B	Psychology, Neuroscience & Behaviour	Faculty of Science	Academic Department	http://vivoweb.org/ontology/core#AcademicDepartment	1	
