name_listed,name_vivo,type_uri,class_uri
Accounting and Financial Manag,Accounting & Financial Management Services,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Anaesthesia,Anesthesia,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Anthropology,Anthropology,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Arts & Science,Arts & Science,Program,http://vivoweb.org/ontology/core#Program
Associate Dean - Academic,,,
Associate Dean - Research / GS,,,
Associate Dean Academic,,,
Associate Dean Research,,,
Associate VP Research,,,
AVP Academic,,,
BIMR,,,
Biochemistry,Biochemistry & Biomedical Sciences,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Biointerfaces Institute,Biointerfaces,,
Biology,Biology,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Canwest Global Chair,,,
Centre for Emerging Device Tec,Centre for Emerging Device Technologies,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Chemical Biology,Chemistry & Chemical Biology,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Chemical Engineering,Chemical Engineering,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Chemistry,Chemistry & Chemical Biology,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Chepa/Mohltc Chair In Health E,,,
Civil Engineering,Civil Engineering,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Classics,Classics,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Clinical Epidemiology,Clinical Epidemiology & Biostatistics,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Computing and Software,Computing and Software,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
CSMM,Communication Studies & Multimedia,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
DSB Central Administration,,,
Economics,Economics,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Electrical and Computer Engine,Electrical and Computer Engineering,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
ENG 5 Year,,,
Engineering Central Administra,Engineering Central Administration,,
Engineering Level one,,,
Engineering Physics,Engineering Physics,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
English,English & Cultural Studies,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Family Med,Family Medicine,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
FHS Academic Administration,Faculty of Health Sciences Administration,,
Finance and Business Economics,Finance & Business Economics,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
French,French,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Geography and Earth Sciences,Geography & Earth Sciences,Academic Department,http://vivoweb.org/ontology/core#AcademicDepartment
Gilbrea Centre for Studies in,Gilbrea Centre for Studies in Aging,,
